SEASON,MATCH_TYPE,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TO,FGM,FGA,FG3M,FG3A,FTM,FTA,FGM_2,FG3M_2,FTM_2,DD,TD,FP,PIE,FG_PCT,FG3_PCT,FT_PCT,MVP,ROY,DPOY,MIP,6MOY,All-NBA-Team,All-Defensive-Team,All-Rookie-Team,All-Star,All-Star-MVP,Finals-MVP,POTW,POTM,ROTM,ROOKIE_SEASON,PPG,RBG,APG,SPG,BPG,TPG,FG3APG,FG3MPG,FTMPG,FTAPG,WIN_PCT,GP_PCT
2000-01,Regular,A.C. Green,920,82,50,32,1411.8333333333333,367.0,313.0,39.0,30.0,8.0,45.0,144.0,324.0,0.0,6.0,79.0,111.0,144.0,0.0,79.0,3,0,870.1,2.3165027068447754,0.4444,0.0,0.7117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,4.5,3.8,0.5,0.4,0.1,0.5,0.1,0.0,1.0,1.4,0.61,1.0
2000-01,Regular,A.J. Guyton,2062,33,6,27,628.55,198.0,36.0,64.0,9.0,5.0,24.0,78.0,192.0,27.0,69.0,15.0,18.0,78.0,27.0,15.0,0,0,355.2,0.7968104208029041,0.4062,0.3913,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,6.0,1.1,1.9,0.3,0.2,0.7,2.1,0.8,0.5,0.5,0.182,0.402
2000-01,Regular,Aaron McKie,243,76,51,25,2390.8,878.0,311.0,377.0,106.0,8.0,203.0,338.0,714.0,53.0,170.0,149.0,194.0,338.0,53.0,149.0,8,2,1955.7,5.692759950871504,0.4734,0.3118,0.768,0,0,0,0,1,0,0,0,0,0,0,1,0,0,False,11.6,4.1,5.0,1.4,0.1,2.7,2.2,0.7,2.0,2.6,0.671,0.927
2000-01,Regular,Aaron Williams,1425,82,26,56,2334.0333333333333,838.0,590.0,88.0,59.0,113.0,132.0,297.0,650.0,0.0,2.0,244.0,310.0,297.0,0.0,244.0,12,0,2062.0,4.632766490193454,0.4569,0.0,0.7871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10.2,7.2,1.1,0.7,1.4,1.6,0.0,0.0,3.0,3.8,0.317,1.0
2000-01,Regular,Adam Keefe,228,67,14,53,841.8833333333333,168.0,209.0,36.0,28.0,20.0,40.0,64.0,159.0,1.0,3.0,39.0,63.0,64.0,1.0,39.0,0,0,576.8,0.9486653416188714,0.4025,0.3333,0.619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.5,3.1,0.5,0.4,0.3,0.6,0.0,0.0,0.6,0.9,0.209,0.817
2000-01,Regular,Adonal Foyle,1502,58,8,50,1460.3666666666666,342.0,405.0,48.0,31.0,156.0,79.0,156.0,375.0,0.0,0.0,30.0,68.0,156.0,0.0,30.0,7,0,1382.0,2.2786289288028883,0.416,,0.4412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,5.9,7.0,0.8,0.5,2.7,1.4,0.0,0.0,0.5,1.2,0.138,0.707
2000-01,Regular,Adrian Griffin,1559,44,16,28,375.9166666666667,93.0,87.0,27.0,18.0,5.0,18.0,33.0,97.0,9.0,26.0,18.0,24.0,33.0,9.0,18.0,0,0,288.9,0.5514616441856581,0.3402,0.3462,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,2.1,2.0,0.6,0.4,0.1,0.4,0.6,0.2,0.4,0.5,0.364,0.537
2000-01,Regular,Al Harrington,1733,78,39,39,1892.5833333333333,586.0,381.0,130.0,63.0,18.0,148.0,241.0,543.0,1.0,7.0,103.0,157.0,241.0,1.0,103.0,8,0,1333.2,2.626438223080949,0.4438,0.1429,0.6561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,7.5,4.9,1.7,0.8,0.2,1.9,0.1,0.0,1.3,2.0,0.5,0.951
2000-01,Regular,Alan Henderson,673,73,20,53,1808.0166666666669,769.0,406.0,50.0,51.0,29.0,126.0,298.0,671.0,0.0,1.0,173.0,271.0,298.0,0.0,173.0,11,0,1445.2,3.141650461603321,0.4441,0.0,0.6384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,10.5,5.6,0.7,0.7,0.4,1.7,0.0,0.0,2.4,3.7,0.274,0.89
2000-01,Regular,Allan Houston,275,78,45,33,2857.9,1459.0,283.0,173.0,52.0,10.0,161.0,542.0,1208.0,96.0,252.0,279.0,307.0,542.0,96.0,279.0,0,0,2083.1,6.816016815871643,0.4487,0.381,0.9088,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,18.7,3.6,2.2,0.7,0.1,2.1,3.2,1.2,3.6,3.9,0.577,0.951
2000-01,Regular,Allen Iverson,947,71,50,21,2975.9166666666665,2207.0,273.0,325.0,178.0,20.0,237.0,762.0,1813.0,98.0,306.0,585.0,719.0,762.0,98.0,585.0,4,0,3379.1,9.408176917554789,0.4203,0.3203,0.8136,1,0,0,0,0,1,0,0,1,1,0,2,1,0,False,31.1,3.8,4.6,2.5,0.3,3.3,4.3,1.4,8.2,10.1,0.704,0.866
2000-01,Regular,Alonzo Mourning,297,13,8,5,305.9666666666667,177.0,101.0,12.0,4.0,31.0,28.0,73.0,141.0,0.0,1.0,31.0,55.0,73.0,0.0,31.0,2,0,393.2,1.0277717108899809,0.5177,0.0,0.5636,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,13.6,7.8,0.9,0.3,2.4,2.2,0.1,0.0,2.4,4.2,0.615,0.159
2000-01,Regular,Alvin Williams,1541,82,47,35,2391.3166666666666,802.0,212.0,407.0,123.0,26.0,103.0,330.0,767.0,33.0,108.0,109.0,145.0,330.0,33.0,109.0,8,1,2010.9,4.8550270343167,0.4302,0.3056,0.7517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,9.8,2.6,5.0,1.5,0.3,1.3,1.3,0.4,1.3,1.8,0.573,1.0
2000-01,Regular,Andre Miller,1889,82,30,52,2846.583333333333,1296.0,360.0,657.0,119.0,28.0,265.0,452.0,999.0,17.0,64.0,375.0,450.0,452.0,17.0,375.0,22,0,2889.5,8.647186185306813,0.4525,0.2656,0.8333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,15.8,4.4,8.0,1.5,0.3,3.2,0.8,0.2,4.6,5.5,0.366,1.0
2000-01,Regular,Andrew DeClercq,692,67,37,30,900.0333333333333,261.0,236.0,32.0,41.0,33.0,51.0,107.0,193.0,0.0,0.0,47.0,82.0,107.0,0.0,47.0,0,0,763.1999999999999,1.141227536531641,0.5544,,0.5732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,3.9,3.5,0.5,0.6,0.5,0.8,0.0,0.0,0.7,1.2,0.552,0.817
2000-01,Regular,Andy Panko,1950,1,1,0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012
